Name; Price; Previous Fortune; Wave Number; Time;
Food_Factory(Clone)_Create_Lvl0;50;180;-1;11;58762
DoubleCanon_Tower(Clone)_Create_Lvl0;80;130;-1;16;78679
Mortar_Tower(Clone)_Create_Lvl0;80;86;0;67;18916
Food_Factory(Clone)_Upgrade_F_01_up;75;105;2;132;7309
ChewingGum_Factory(Clone)_Create_Lvl0;50;75;2;159;3953
Sniper_Tower(Clone)_Create_Lvl0;80;108;3;198;2404
Mortar_Tower(Clone)_Upgrade_M_01_up;120;136;3;220;3005
Sniper_Tower(Clone)_Upgrade_S_01_up;120;151;4;274;6104
DoubleCanon_Tower(Clone)_Upgrade_Dc_01_up;120;170;5;315;3117
